timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-02T12:04:44,emotion_arcs,b39df520-cc9c-4b68-a553-45b094d2210b,0.4465649127960205,0.0006571848118176,0.0014716445313692,14.0,0.0,5.739553928375244,0.0025834422193633,0,0.0010591256608796,0.0036425678802429,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:21:59,emotion_arcs,56c64332-6c9f-4e1c-80de-1778d966648e,0.0139296054840087,2.35342769243936e-07,1.6895149651877065e-05,14.0,0.0,5.739553928375244,9.258027871449788e-07,0,3.786278641422314e-07,1.3044306512872103e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:23:20,emotion_arcs,d0644a91-032e-45a5-807b-6e4fdc0fb397,0.0151875019073486,2.091419943686033e-07,1.3770664566462225e-05,14.0,0.0,5.739553928375244,8.228668901655409e-07,0,3.363411399013217e-07,1.1592080300668626e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:30:49,emotion_arcs,033bab50-beb6-4acf-92af-e2026da4a103,0.0145673751831054,2.385126809797688e-07,1.6373071880264616e-05,14.0,0.0,5.739553928375244,9.38374466366238e-07,0,3.8362600464978413e-07,1.3220004710160222e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:32:09,emotion_arcs,31977bff-8ef2-4d11-ba33-80b2374ebe5e,0.0219900608062744,2.277963580026489e-07,1.0359059941191793e-05,14.0,0.0,5.739553928375244,8.962580892774793e-07,0,3.6634518757210803e-07,1.2626032768495876e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:34:28,emotion_arcs,495a37d8-813d-43e3-8260-a7150a528138,0.01155686378479,2.160146706050268e-07,1.869146116347959e-05,14.0,0.0,5.739553928375244,8.498126930660672e-07,0,3.474884110644894e-07,1.1973011041305563e-06,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
2024-05-02T12:34:41,emotion_arcs,99c90392-47d8-4c5a-bb31-95e405aca3e6,0.13310790061950684,1.8234369169785112e-06,1.3698938293609359e-05,14.0,0.0,5.739553928375244,7.169817156261869e-06,0,2.936917853429577e-06,1.0106735009691444e-05,Denmark,DNK,central jutland,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.31,3.11.5,2.3.5,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,10.2153,56.1567,15.305477142333984,machine,N,1.0
